"","movie_title","release_date","genre","mpaa_rating","total_gross","inflation_adjusted_gross","release_year"
"203","Hercules",1997-06-13,"Adventure","G",99112101,182029412,1997
"204","George Of The Jungle",1997-07-16,"Comedy","PG",105263257,193326632,1997
"205","Nothing To Lose",1997-07-18,"Comedy","R",44480039,81692095,1997
"206","Air Bud",1997-08-01,"Comedy","PG",24646936,45266588,1997
"207","G.I. Jane",1997-08-22,"Drama","R",48169156,88467531,1997
"208","A Thousand Acres",1997-09-19,"Drama","R",7928412,14561324,1997
"209","Washington Square",1997-10-05,"Drama","PG",1775644,3257546,1997
"210","Rocket Man",1997-10-10,"Comedy","PG",15448043,28371890,1997
"211","Playing God",1997-10-17,"Thriller/Suspense","R",4166918,7652965,1997
"212","Flubber",1997-11-26,"Comedy","PG",92993801,170406423,1997
"213","An American Werewolf in Paris",1997-12-25,"Horror","R",26570463,48546161,1997
"214","Mr. Magoo",1997-12-25,"Comedy","PG",21437192,39145784,1997
"215","Kundun",1997-12-25,"Drama","PG-13",5686694,10236836,1997
"216","Deep Rising",1998-01-30,"Action","R",11203026,20136775,1998
"217","Krippendorf's Tribe",1998-02-27,"Comedy","PG-13",7571115,13608633,1998
"218","An Alan Smithee Film: Burn Hollywood …",1998-02-27,"Comedy","R",45779,82277,1998
"219","Meet the Deedles",1998-03-27,"Comedy","PG",4356126,7829877,1998
"220","He Got Game",1998-05-01,"Drama","R",21567853,38766948,1998
"221","The Horse Whisperer",1998-05-15,"Drama","PG-13",75383563,135497531,1998
"222","Six Days, Seven Nights",1998-06-12,"Romantic Comedy","PG-13",74339294,133620516,1998
"223","Mulan",1998-06-19,"Adventure","G",120620254,216807832,1998
"224","Armageddon",1998-07-01,"Adventure","PG-13",201578182,362324957,1998
"225","Jane Austen's Mafia",1998-07-24,"Comedy","PG-13",19843795,35668055,1998
"226","The Parent Trap",1998-07-29,"Comedy","PG",66308518,119185667,1998
"227","Firelight",1998-09-04,"Drama","R",784419,1409943,1998
"228","Simon Birch",1998-09-11,"Drama","PG",18253415,32809442,1998
"229","Holy Man",1998-10-09,"Comedy","PG",12069719,21694605,1998
"230","Beloved",1998-10-16,"Drama","R",22852487,41062682,1998
"231","The Waterboy",1998-11-06,"Comedy","PG-13",161491646,288691833,1998
"232","I'll Be Home For Christmas",1998-11-13,"Comedy","PG",12214338,21941840,1998
"233","A Bug's Life",1998-11-20,"Adventure","G",162798565,288981698,1998
"234","Enemy of the State",1998-11-20,"Action","R",111549836,198472008,1998
"235","Rushmore",1998-12-11,"Black Comedy","R",17105219,28392518,1998
"236","A Civil Action",1998-12-25,"Drama","PG-13",56709981,94139530,1998
"237","Mighty Joe Young",1998-12-25,"Adventure","PG",50632037,87906042,1998
"238","My Favorite Martian",1999-02-12,"Comedy","PG",36850101,61150849,1999
"239","The Other Sister",1999-02-26,"Romantic Comedy","PG-13",27807627,46145331,1999
"240","Doug's 1st Movie",1999-03-26,"Adventure","G",19421271,32228598,1999
"241","Ten Things I Hate About You",1999-03-31,"Romantic Comedy","PG-13",38177966,63354375,1999
"242","Instinct",1999-06-04,"Drama","R",34105207,56595842,1999
"243","Tarzan",1999-06-16,"Adventure","G",171091819,283900254,1999
"244","Summer of Sam",1999-07-02,"Drama","R",19288130,32007656,1999
"245","Inspector Gadget",1999-07-23,"Comedy","PG",97387965,161610341,1999
"246","The Sixth Sense",1999-08-06,"Thriller/Suspense","PG-13",293506292,485424724,1999
"247","The 13th Warrior",1999-08-27,"Action","R",32698899,54262148,1999
"248","Breakfast of Champions",1999-09-17,"Comedy","R",178287,295851,1999
"249","Mumford",1999-09-24,"Comedy","R",4559569,7566363,1999
"250","Mystery, Alaska",1999-10-01,"Comedy","R",8891623,14755189,1999
"251","The Straight Story",1999-10-15,"Drama","G",6197866,10111144,1999
"252","The Insider",1999-11-05,"Drama","R",28965197,47794214,1999
"253","Toy Story 2",1999-11-19,"Adventure","G",245852179,404450426,1999
"254","Cradle Will Rock",1999-12-08,"Drama","R",2899970,4609153,1999
"255","Deuce Bigalow: Male Gigolo",1999-12-10,"Comedy","R",65535067,106921374,1999
"256","Bicentennial Man",1999-12-17,"Drama","PG",58220776,94838225,1999
"257","Play it to the Bone",1999-12-24,"Comedy","R",8427204,13180524,1999
"258","Fantasia 2000 (IMAX)",2000-01-01,"Musical","G",60507228,94852354,2000
"259","Gun Shy",2000-02-04,"Comedy","R",1638202,2562155,2000
"260","The Tigger Movie",2000-02-11,"Adventure","G",45542421,71228678,2000
"261","Mission to Mars",2000-03-10,"Adventure","PG",60874615,95208344,2000
"262","High Fidelity",2000-03-31,"Comedy","R",27277055,42661516,2000
"263","Keeping the Faith",2000-04-14,"Romantic Comedy","PG-13",37036404,57925202,2000
"264","Dinosaur",2000-05-19,"Adventure","PG",137748063,215438985,2000
"265","Shanghai Noon",2000-05-26,"Western","PG-13",56932305,89042541,2000
"266","Gone in 60 Seconds",2000-06-09,"Action","PG-13",101643008,158970411,2000
